zona,poligono
zona_1,"[(-25.301188661136475, -57.5845342836452), (-25.301189280590744, -57.58451248077023), (-25.301191136508848, -57.584490763941254), (-25.30119422156632, -57.58446921886466), (-25.301198523587857, -57.584447930569034), (-25.30120402559534, -57.58442698306955), (-25.30121070587486, -57.584406459036416), (-25.3012185380624, -57.58438643946861), (-25.301227491247904, -57.58436700337423), (-25.301237530097236, -57.584348227458655), (-25.30124861499164, -57.58433018582185), (-25.301260702184106, -57.58431294966591), (-25.301273743972004, -57.584296587014066), (-25.30128768888536, -57.58428116244223), (-25.30130248188997, -57.58426673682415), (-25.3013180646046, -57.58425336709114), (-25.301334375531397, -57.58424110600742), (-25.301351350298585, -57.584230001961906), (-25.301368921914513, -57.58422009877718), (-25.30138702103204, -57.58421143553659), (-25.301405576222216, -57.58420404642999), (-25.301424514256187, -57.58419796061881), (-25.30144376039418, -57.58419320212096), (-25.301463238680483, -57.58418978971606), (-25.301482872243202, -57.58418773687132), (-25.301502583597628, -57.58418705168837), (-25.301522294952054, -57.58418773687132), (-25.301541928514773, -57.58418978971606), (-25.301561406801078, -57.58419320212096), (-25.30158065293907, -57.58419796061881), (-25.30159959097304, -57.58420404642999), (-25.301618146163218, -57.58421143553659), (-25.301636245280744, -57.58422009877718), (-25.30165381689667, -57.584230001961906), (-25.30167079166386, -57.58424110600742), (-25.301687102590655, -57.58425336709114), (-25.301702685305287, -57.58426673682415), (-25.301717478309897, -57.58428116244223), (-25.301731423223252, -57.584296587014066), (-25.30174446501115, -57.58431294966591), (-25.301756552203617, -57.58433018582185), (-25.30176763709802, -57.584348227458655), (-25.301777675947353, -57.58436700337423), (-25.301786629132856, -57.58438643946861), (-25.301794461320398, -57.584406459036416), (-25.301801141599917, -57.58442698306955), (-25.3018066436074, -57.584447930569034), (-25.301810945628937, -57.58446921886466), (-25.30181403068641, -57.584490763941254), (-25.301815886604512, -57.58451248077023), (-25.30181650605878, -57.5845342836452), (-25.301815886604512, -57.584556086520166), (-25.30181403068641, -57.58457780334914), (-25.301810945628937, -57.58459934842573), (-25.3018066436074, -57.58462063672136), (-25.301801141599917, -57.58464158422085), (-25.301794461320398, -57.58466210825398), (-25.301786629132856, -57.584682127821786), (-25.301777675947353, -57.58470156391616), (-25.30176763709802, -57.58472033983174), (-25.301756552203617, -57.58473838146855), (-25.30174446501115, -57.58475561762449), (-25.301731423223252, -57.58477198027633), (-25.301717478309897, -57.584787404848164), (-25.301702685305287, -57.58480183046625), (-25.301687102590655, -57.58481520019926), (-25.30167079166386, -57.58482746128298), (-25.30165381689667, -57.58483856532849), (-25.301636245280744, -57.584848468513215), (-25.301618146163218, -57.58485713175381), (-25.30159959097304, -57.58486452086041), (-25.30158065293907, -57.584870606671586), (-25.301561406801078, -57.58487536516944), (-25.301541928514773, -57.58487877757433), (-25.301522294952054, -57.584880830419074), (-25.301502583597628, -57.58488151560203), (-25.301482872243202, -57.584880830419074), (-25.301463238680483, -57.58487877757433), (-25.30144376039418, -57.58487536516944), (-25.301424514256187, -57.584870606671586), (-25.301405576222216, -57.58486452086041), (-25.30138702103204, -57.58485713175381), (-25.301368921914513, -57.584848468513215), (-25.301351350298585, -57.58483856532849), (-25.301334375531397, -57.58482746128298), (-25.3013180646046, -57.58481520019926), (-25.30130248188997, -57.58480183046625), (-25.30128768888536, -57.584787404848164), (-25.301273743972004, -57.58477198027633), (-25.301260702184106, -57.58475561762449), (-25.30124861499164, -57.58473838146855), (-25.301237530097236, -57.58472033983174), (-25.301227491247904, -57.58470156391616), (-25.3012185380624, -57.584682127821786), (-25.30121070587486, -57.58466210825398), (-25.30120402559534, -57.58464158422085), (-25.301198523587857, -57.58462063672136), (-25.30119422156632, -57.58459934842573), (-25.301191136508848, -57.58457780334914), (-25.301189280590744, -57.584556086520166), (-25.301188661136475, -57.5845342836452)]"
zona_2,"[(-25.300874738675326, -57.5845342836452), (-25.30087597758386, -57.58449067789527), (-25.300879689420064, -57.5844472442373), (-25.300885859535015, -57.584404154084126), (-25.300894463578086, -57.58436157749287), (-25.300905467593047, -57.5843196824939), (-25.300918828152085, -57.584278634427626), (-25.300934492527173, -57.58423859529202), (-25.300952398898183, -57.58419972310326), (-25.300972476596844, -57.58416217127211), (-25.300994646385654, -57.5841260879985), (-25.301018820770583, -57.58409161568662), (-25.301044904346384, -57.584058890382934), (-25.30107279417309, -57.584028041239264), (-25.30110238018231, -57.5839991900031), (-25.30113354561157, -57.58397245053707), (-25.301166167465166, -57.583947928369646), (-25.301200116999542, -57.583925720278614), (-25.301235260231397, -57.58390591390916), (-25.30127145846645, -57.583888587427985), (-25.301308568846803, -57.583873809214786), (-25.301346444914742, -57.58386163759242), (-25.30138493719073, -57.583852120596724), (-25.30142389376334, -57.58384529578693), (-25.301463160888773, -57.58384119009744), (-25.301502583597628, -57.583839819731544), (-25.301542006306484, -57.58384119009744), (-25.301581273431918, -57.58384529578693), (-25.301620230004527, -57.583852120596724), (-25.301658722280514, -57.58386163759242), (-25.301696598348453, -57.583873809214786), (-25.301733708728808, -57.583888587427985), (-25.30176990696386, -57.58390591390916), (-25.301805050195714, -57.583925720278614), (-25.30183899973009, -57.583947928369646), (-25.301871621583686, -57.58397245053707), (-25.301902787012946, -57.5839991900031), (-25.301932373022165, -57.584028041239264), (-25.301960262848873, -57.584058890382934), (-25.301986346424673, -57.58409161568662), (-25.302010520809603, -57.5841260879985), (-25.302032690598413, -57.58416217127211), (-25.302052768297074, -57.58419972310326), (-25.302070674668084, -57.58423859529202), (-25.30208633904317, -57.584278634427626), (-25.30209969960221, -57.5843196824939), (-25.30211070361717, -57.58436157749287), (-25.30211930766024, -57.584404154084126), (-25.302125477775192, -57.5844472442373), (-25.302129189611396, -57.58449067789527), (-25.30213042851993, -57.5845342836452), (-25.302129189611396, -57.58457788939513), (-25.302125477775192, -57.58462132305309), (-25.30211930766024, -57.58466441320627), (-25.30211070361717, -57.584706989797525), (-25.30209969960221, -57.5847488847965), (-25.30208633904317, -57.58478993286277), (-25.302070674668084, -57.584829971998374), (-25.302052768297074, -57.584868844187135), (-25.302032690598413, -57.58490639601828), (-25.302010520809603, -57.5849424792919), (-25.301986346424673, -57.58497695160378), (-25.301960262848873, -57.58500967690746), (-25.301932373022165, -57.58504052605113), (-25.301902787012946, -57.5850693772873), (-25.301871621583686, -57.58509611675333), (-25.30183899973009, -57.58512063892075), (-25.301805050195714, -57.58514284701178), (-25.30176990696386, -57.58516265338123), (-25.301733708728808, -57.58517997986241), (-25.301696598348453, -57.58519475807561), (-25.301658722280514, -57.585206929697975), (-25.301620230004527, -57.58521644669367), (-25.301581273431918, -57.585223271503466), (-25.301542006306484, -57.58522737719296), (-25.301502583597628, -57.58522874755885), (-25.301463160888773, -57.58522737719296), (-25.30142389376334, -57.585223271503466), (-25.30138493719073, -57.58521644669367), (-25.301346444914742, -57.585206929697975), (-25.301308568846803, -57.58519475807561), (-25.30127145846645, -57.58517997986241), (-25.301235260231397, -57.58516265338123), (-25.301200116999542, -57.58514284701178), (-25.301166167465166, -57.58512063892075), (-25.30113354561157, -57.58509611675333), (-25.30110238018231, -57.5850693772873), (-25.30107279417309, -57.58504052605113), (-25.301044904346384, -57.58500967690746), (-25.301018820770583, -57.58497695160378), (-25.300994646385654, -57.5849424792919), (-25.300972476596844, -57.58490639601828), (-25.300952398898183, -57.584868844187135), (-25.300934492527173, -57.584829971998374), (-25.300918828152085, -57.58478993286277), (-25.300905467593047, -57.5847488847965), (-25.300894463578086, -57.584706989797525), (-25.300885859535015, -57.58466441320627), (-25.300879689420064, -57.58462132305309), (-25.30087597758386, -57.58457788939513), (-25.300874738775324, -57.5845342837452), (-25.301188661236473, -57.5845342837452), (-25.301189280590744, -57.584556086520166), (-25.301191136508848, -57.58457780334914), (-25.30119422156632, -57.58459934842573), (-25.301198523587857, -57.58462063672136), (-25.30120402559534, -57.58464158422085), (-25.30121070587486, -57.58466210825398), (-25.3012185380624, -57.584682127821786), (-25.301227491247904, -57.58470156391616), (-25.301237530097236, -57.58472033983174), (-25.30124861499164, -57.58473838146855), (-25.301260702184106, -57.58475561762449), (-25.301273743972004, -57.58477198027633), (-25.30128768888536, -57.584787404848164), (-25.30130248188997, -57.58480183046625), (-25.3013180646046, -57.58481520019926), (-25.301334375531397, -57.58482746128298), (-25.301351350298585, -57.58483856532849), (-25.301368921914513, -57.584848468513215), (-25.30138702103204, -57.58485713175381), (-25.301405576222216, -57.58486452086041), (-25.301424514256187, -57.584870606671586), (-25.30144376039418, -57.58487536516944), (-25.301463238680483, -57.58487877757433), (-25.301482872243202, -57.584880830419074), (-25.301502583597628, -57.58488151560203), (-25.301522294952054, -57.584880830419074), (-25.301541928514773, -57.58487877757433), (-25.301561406801078, -57.58487536516944), (-25.30158065293907, -57.584870606671586), (-25.30159959097304, -57.58486452086041), (-25.301618146163218, -57.58485713175381), (-25.301636245280744, -57.584848468513215), (-25.30165381689667, -57.58483856532849), (-25.30167079166386, -57.58482746128298), (-25.301687102590655, -57.58481520019926), (-25.301702685305287, -57.58480183046625), (-25.301717478309897, -57.584787404848164), (-25.301731423223252, -57.58477198027633), (-25.30174446501115, -57.58475561762449), (-25.301756552203617, -57.58473838146855), (-25.30176763709802, -57.58472033983174), (-25.301777675947353, -57.58470156391616), (-25.301786629132856, -57.584682127821786), (-25.301794461320398, -57.58466210825398), (-25.301801141599917, -57.58464158422085), (-25.3018066436074, -57.58462063672136), (-25.301810945628937, -57.58459934842573), (-25.30181403068641, -57.58457780334914), (-25.301815886604512, -57.584556086520166), (-25.30181650605878, -57.5845342836452), (-25.301815886604512, -57.58451248077023), (-25.30181403068641, -57.584490763941254), (-25.301810945628937, -57.58446921886466), (-25.3018066436074, -57.584447930569034), (-25.301801141599917, -57.58442698306955), (-25.301794461320398, -57.584406459036416), (-25.301786629132856, -57.58438643946861), (-25.301777675947353, -57.58436700337423), (-25.30176763709802, -57.584348227458655), (-25.301756552203617, -57.58433018582185), (-25.30174446501115, -57.58431294966591), (-25.301731423223252, -57.584296587014066), (-25.301717478309897, -57.58428116244223), (-25.301702685305287, -57.58426673682415), (-25.301687102590655, -57.58425336709114), (-25.30167079166386, -57.58424110600742), (-25.30165381689667, -57.584230001961906), (-25.301636245280744, -57.58422009877718), (-25.301618146163218, -57.58421143553659), (-25.30159959097304, -57.58420404642999), (-25.30158065293907, -57.58419796061881), (-25.301561406801078, -57.58419320212096), (-25.301541928514773, -57.58418978971606), (-25.301522294952054, -57.58418773687132), (-25.301502583597628, -57.58418705168837), (-25.301482872243202, -57.58418773687132), (-25.301463238680483, -57.58418978971606), (-25.30144376039418, -57.58419320212096), (-25.301424514256187, -57.58419796061881), (-25.301405576222216, -57.58420404642999), (-25.30138702103204, -57.58421143553659), (-25.301368921914513, -57.58422009877718), (-25.301351350298585, -57.584230001961906), (-25.301334375531397, -57.58424110600742), (-25.3013180646046, -57.58425336709114), (-25.30130248188997, -57.58426673682415), (-25.30128768888536, -57.58428116244223), (-25.301273743972004, -57.584296587014066), (-25.301260702184106, -57.58431294966591), (-25.30124861499164, -57.58433018582185), (-25.301237530097236, -57.584348227458655), (-25.301227491247904, -57.58436700337423), (-25.3012185380624, -57.58438643946861), (-25.30121070587486, -57.584406459036416), (-25.30120402559534, -57.58442698306955), (-25.301198523587857, -57.584447930569034), (-25.30119422156632, -57.58446921886466), (-25.301191136508848, -57.584490763941254), (-25.301189280590744, -57.58451248077023), (-25.301188661136475, -57.5845342836452), (-25.300874738675326, -57.5845342836452)]"
